Train Loss,Test Loss
1611.175951317946,123.89709191322326
96.46310963431993,82.60608281294505
75.29593316912651,71.51670080820719
60.309133682648344,58.512160555521646
54.733536626895265,51.712636526425676
98.05991343259811,96.48009215195974
69.5641333023707,51.20031625032425
53.7002992550532,47.775947328408556
47.53740733961264,44.708043162028
45.11504233578841,38.19773262341817
43.918537999689576,46.9188396414121
39.42210875352224,34.204101928075154
39.184447947144506,33.125037862857184
38.69109455049038,31.18368489742279
35.12616599301497,29.596943453947702
36.518755707144734,107.937522037824
40.29659427404404,32.176516946156816
44.60915127843619,43.414616696039836
42.515024077892306,30.431528137127557
32.42834874441226,34.65820414026578
31.00953459988038,30.075318559010825
30.83889097919067,26.34348889787992
28.93529465397199,26.276602872212727
26.48508439064026,25.22045901020368
27.501967744529246,31.173266555865606
32.73558693155646,25.037887918949128
28.507710922509432,23.48146943251292
24.82396204570929,23.87632138331731
29.325251986583073,24.28084112207095
24.17846403295795,23.304957548777264
24.76396062547962,23.636300310492516
25.623502415666977,22.963108042875927
22.167426487555108,21.77045668462912
23.23694729730487,21.82757775783539
22.18293594693144,19.506136133273444
23.086392653981843,21.742451973756154
24.254449263215065,20.29174185395241
25.03338491767645,27.18934569358826
24.804180458933114,21.214531405766806
21.36208070764939,19.858073270320894
20.174198252211013,20.155145710706712
22.38755522966385,29.65000876188278
24.4748995150129,20.85059962471326
19.980619166294733,21.777862217028936
20.02979721327623,18.856706097722054
20.02859414195021,20.345482885837555
20.373805661002795,18.994192371765774
18.829008938993017,19.36706623136997
19.70490772475799,19.327747318148614
19.504078113287687,20.74896355072657
