Train Loss,Test Loss
4269.501352864805,177.3219611926121
205.4490845874656,903.5002085090134
869.5322757731359,851.0550164483466
823.3390555364756,809.6764879671279
785.2666762890797,775.0422095435349
753.7641809104297,746.6981019937707
728.424633074978,724.4031780423962
708.9620044867631,707.819765211904
694.7978074656247,696.1633889567997
685.3304958219366,688.7510185353849
679.5816297545143,684.5354147426024
676.4055932225386,682.3242238960763
674.8287274931099,681.2943279614022
674.069887049529,680.8002514925288
673.7334665526319,680.5926500598406
673.5879823531319,680.5103500923756
673.5301329127985,680.4774393708904
673.506869413611,680.4636754368795
673.4952120623768,680.4578712588346
673.4897998134654,680.4556429949893
673.4867701189072,680.45462775681
673.4862532774841,680.4545978031855
673.4855131124865,680.4545563397814
673.4843800344713,680.4545472652559
673.4853824132534,680.455005259636
673.4846817647713,680.4553378384337
673.4850057281168,680.4551098217538
673.4841310131483,680.4546842611121
673.4850483473274,680.4545984119991
673.4847971283285,680.4546167404899
673.4849956159253,680.4549704931804
673.4847063508676,680.4549624055736
673.4850773912455,680.4549115920757
673.4841994710663,680.4548471539724
673.4852309818656,680.4547291595062
673.4853703580733,680.4546434001129
673.4851803584382,680.4549214164032
673.4859591157101,680.4551648456777
673.4847736602918,680.4549124828661
673.4843665953322,680.4550647823713
673.485318775165,680.4549898470415
673.4852560725303,680.4547601833608
673.4850766528136,680.4548349072081
673.4851783609881,680.4551359046061
673.4847280873538,680.4550764715907
673.4846503982368,680.4553831085243
673.4852009960865,680.455341927097
673.4859025624027,680.4550945565561
673.4844268952602,680.454679993009
673.4851610278623,680.4547513523606
